Shares Number,Volume,Net Income,Dividends,Employee Amount,Previous Close,Analysts,Price Target,Earnings Date
69.88M,"35,259",-207.29M,n/a,100,2.030,Buy,2.75,"Jul 30, 2024"
34.70M,"40,477",11.60M,n/a,144,4.070,Strong Buy,7.50,"Aug 6, 2024"
17.32M,"15,489",17.71M,$0.48,750,8.13,n/a,n/a,"Jul 18, 2024"
14.05M,"9,282",21.97M,n/a,148,10.06,Hold,9.00,"Aug 14, 2024"
150.78M,"247,133",-40.91M,n/a,,0.927,Strong Buy,4.00,"Aug 8, 2024"
39.65M,"51,101",-83.84M,n/a,134,3.510,Buy,16.60,"Aug 13, 2024"
,,,,"1,400",,,,
,,,,"7,700",,,,
50.24M,"121,834","53,595",$0.05,32,2.740,Buy,n/a,"Aug 7, 2024"
37.58M,"252,945",-6.56M,n/a,10,3.670,Strong Buy,7.80,"Sep 5, 2024"
45.02M,"69,682",-19.89M,n/a,,3.060,n/a,n/a,"Aug 14, 2024"
,,,,"2,323",,,,
,,,,304,,,,
34.06M,"12,374",-65.24M,n/a,30,4.030,Strong Buy,10.00,"Aug 7, 2024"
41.32M,"8,600",13.79M,n/a,289,3.230,n/a,n/a,"Aug 12, 2024"
6.41M,"9,336",5.50M,n/a,488,21.31,n/a,n/a,"Jul 26, 2024"
59.47M,"237,749",-36.22M,n/a,"1,389",2.290,Buy,4.20,"Aug 28, 2024"
59.17M,"339,973",-49.40M,n/a,161,2.300,Hold,2.75,"Aug 8, 2024"
9.76M,"33,242",2.56M,$0.12,"2,023",13.91,n/a,n/a,"Aug 13, 2024"
157.74M,"651,096",-134.82M,n/a,407,0.860,Hold,1.08,"Aug 7, 2024"
8.25M,"73,303",-5.04M,n/a,30,16.32,Strong Buy,58.25,"Aug 9, 2024"
100.46M,"1,309,799",-85.92M,n/a,,1.340,Buy,4.18,"Aug 6, 2024"
30.00M,"81,716","608,000",n/a,,8.02,Buy,12.67,"Aug 6, 2024"
26.71M,"196,119",2.79M,n/a,,5.010,Strong Buy,6.50,"Aug 6, 2024"
13.87M,"56,443",10.98M,$0.39,,9.64,n/a,n/a,"Aug 13, 2024"
14.47M,"110,353",1.79M,n/a,,9.24,Strong Buy,12.50,"Aug 13, 2024"
10.38M,"131,620",-37.75M,n/a,651,12.85,n/a,n/a,"Aug 6, 2024"
71.30M,"157,007",-17.48M,n/a,"4,095",1.870,Strong Buy,6.00,"Aug 12, 2024"
,,,,197,,,,
19.75M,"70,495",-65.92M,n/a,,6.75,n/a,n/a,"Aug 8, 2024"
107.50M,"426,616",-104.53M,n/a,58,1.240,Buy,2.81,"Aug 5, 2024"
27.19M,"12,161",3.25M,n/a,"1,430",4.300,n/a,n/a,n/a
5.14M,"1,509",22.48M,$1.00,,25.88,Hold,24.67,"Jul 24, 2024"
52.01M,"1,473",-122.06M,n/a,"4,177",2.400,Strong Buy,18.00,"Sep 26, 2024"
64.11M,"125,353",-50.59M,n/a,,2.070,Strong Buy,4.40,"Aug 8, 2024"
,,,,561,,,,
,,,,32,,,,
18.65M,"81,657",-21.10M,n/a,270,7.10,Strong Buy,21.00,"Aug 6, 2024"
11.50M,"41,258",-393.87M,n/a,,10.92,n/a,n/a,"Aug 13, 2024"
8.28M,"209,579",-8.77M,n/a,460,15.95,Buy,30.00,"Aug 27, 2024"
151.73M,"1,854,678",-162.11M,n/a,,0.871,Buy,4.17,"Aug 13, 2024"
38.44M,"433,741",-53.95M,n/a,"2,465",3.425,Strong Buy,7.75,"Aug 27, 2024"
90.08M,"101,143",-95.31M,n/a,365,1.460,Strong Buy,15.00,"Aug 8, 2024"
44.27M,"18,352",-31.85M,n/a,127,2.950,Strong Buy,5.00,"Jul 25, 2024"
11.85M,957,-3.02M,n/a,716,11.00,n/a,n/a,n/a
,,,,95,,,,
9.54M,"85,995",5.59M,$1.00,800,13.68,n/a,n/a,"Sep 12, 2024"
,,,,51,,,,
,,,,248,,,,
,,,,156,,,,
,,,,28,,,,
,,,,,,,,
44.60M,"93,320",-30.41M,n/a,"4,621",2.900,Strong Buy,4.13,"Aug 6, 2024"
12.80M,"19,543","-263,250",n/a,,10.05,n/a,n/a,n/a
,,,,68,,,,
42.45M,"51,245",-68.52M,n/a,35,3.010,Strong Buy,17.33,"Aug 6, 2024"
49.50M,"158,765",-60.35M,n/a,82,2.580,Buy,6.08,"Aug 5, 2024"
38.44M,"115,910",-113.45M,n/a,326,3.320,Strong Buy,20.50,"Aug 1, 2024"
43.35M,"223,264",-13.22M,n/a,51,2.940,Strong Buy,5.38,"Aug 1, 2024"
11.02M,"11,325",10.58M,$0.50,,11.50,Hold,13.00,"Jul 26, 2024"
146.38M,"433,427",-37.40M,n/a,22,0.864,Strong Buy,4.00,"Aug 8, 2024"
168.50M,"640,219",17.63M,n/a,440,0.750,Buy,3.67,"Aug 8, 2024"
9.44M,"26,216",4.51M,$0.28,212,13.36,Buy,20.00,"Jul 11, 2024"
52.67M,"912,282",-171.44M,n/a,12,2.390,Strong Buy,14.83,"Aug 8, 2024"
38.08M,"465,434",-59.80M,n/a,,3.300,Hold,2.25,"Aug 8, 2024"
16.86M,"103,962",-31.80M,n/a,,7.45,Hold,4.50,"Aug 7, 2024"
,,,,251,,,,
,,,,23,,,,
21.74M,"78,690",1.70M,n/a,"1,715",5.75,Strong Buy,9.00,"Jul 31, 2024"
,,,,"1,215",,,,
,,,,,,,,
47.20M,"358,327",-48.14M,n/a,47,2.640,Strong Buy,11.44,"Aug 1, 2024"
49.05M,"594,515",8.72M,n/a,54,2.540,Strong Buy,7.00,"Aug 1, 2024"
43.09M,"219,151",-4.98M,n/a,"1,341",2.860,Strong Buy,7.67,"Aug 14, 2024"
,,,,325,,,,
101.51M,"21,970",-17.69M,n/a,"2,006",1.220,n/a,n/a,"Sep 3, 2024"
7.37M,"43,637",15.25M,$0.40,84,16.81,n/a,n/a,"Oct 21, 2024"
88.35M,"1,230,219",-50.30M,n/a,925,1.400,Buy,n/a,"Aug 14, 2024"
31.15M,"38,882",-11.99M,n/a,971,3.970,Buy,8.00,"Aug 6, 2024"
36.82M,"266,940",-40.68M,n/a,517,3.350,Strong Buy,16.67,"Aug 13, 2024"
9.19M,"5,350",3.54M,n/a,"3,888",13.52,n/a,n/a,"Aug 9, 2024"
24.95M,"6,494",-8.62M,n/a,23,4.900,Buy,8.00,"Aug 8, 2024"
89.02M,"2,498,064",-87.67M,n/a,5,1.380,Hold,1.18,"Jul 31, 2024"
82.40M,"256,326",-137.29M,n/a,,1.490,Strong Buy,15.25,"Aug 13, 2024"
68.44M,"682,304",-144.00M,n/a,12,1.790,Strong Buy,10.00,"Aug 13, 2024"
50.25M,"317,867",13.71M,$0.04,41,2.430,Buy,4.30,"Jul 31, 2024"
,,,,"2,530",,,,
95.34M,"478,613",-345.11M,n/a,,1.280,Strong Buy,3.35,"Aug 7, 2024"
79.56M,"854,920",10.95M,n/a,40,1.530,n/a,n/a,"Sep 6, 2024"
11.24M,"1,683",-3.82M,n/a,765,10.85,n/a,n/a,n/a
,,,,19,,,,
17.50M,"35,005",6.45M,n/a,73,6.92,Strong Buy,12.00,"Aug 9, 2024"
2.55M,"3,471",3.92M,$0.76,291,47.34,n/a,n/a,"Jul 29, 2024"
119.44M,"1,363,026",-203.84M,n/a,,1.010,Strong Buy,9.50,"Aug 14, 2024"
37.43M,"62,951",-75.00M,n/a,"1,029",3.220,Strong Buy,15.50,"Aug 14, 2024"
42.67M,"1,144,520",-86.93M,n/a,147,2.820,Strong Buy,12.00,"Aug 14, 2024"
115.48M,"318,797",-47.41M,n/a,126,1.040,Strong Buy,2.67,"Aug 8, 2024"
68.23M,"460,065",-3.27M,n/a,,1.760,n/a,n/a,"Aug 26, 2024"
31.52M,"1,908",-8.54M,n/a,109,3.640,n/a,n/a,"Sep 3, 2024"
33.33M,"89,004",158.67M,n/a,226,3.570,n/a,n/a,n/a
,,,,,,,,
63.61M,"640,559",-260.01M,n/a,220,1.880,Buy,6.00,"Aug 14, 2024"
111.73M,"212,594",-50.18M,n/a,24,1.070,Strong Buy,1.48,"Aug 8, 2024"
32.36M,"147,360",31.91M,n/a,,3.690,Buy,10.00,"Aug 5, 2024"
32.24M,"599,136",1.28M,n/a,174,3.690,n/a,n/a,"Sep 3, 2024"
21.96M,"302,634",5.31M,$0.25,"1,300",5.41,n/a,n/a,"Aug 13, 2024"
10.29M,"33,351",8.36M,n/a,47,11.54,n/a,n/a,n/a
,,,,176,,,,
35.07M,"371,765",-13.36M,n/a,178,3.385,Hold,4.50,"Aug 29, 2024"
4.31M,"3,497",13.13M,$0.48,"1,456",27.38,n/a,n/a,"Sep 3, 2024"
25.84M,"127,662",-6.69M,n/a,270,4.540,Strong Buy,9.00,"Aug 8, 2024"
12.87M,"27,576",-12.25M,n/a,688,9.11,Strong Buy,12.00,"Sep 5, 2024"
166.86M,"1,492,827",-108.79M,n/a,274,0.700,Buy,3.85,"Aug 7, 2024"
8.79M,"19,239",-15.09M,$0.80,9,13.24,Hold,n/a,"Jul 10, 2024"
4.35M,"4,090",5.24M,$0.40,"1,076",26.71,n/a,n/a,"Oct 17, 2024"
18.87M,"612,513",-20.32M,n/a,841,6.16,n/a,n/a,"Aug 12, 2024"
7.84M,"19,749",8.44M,$0.57,"1,718",14.80,n/a,n/a,"Jul 23, 2024"
65.47M,"409,875",-35.39M,n/a,161,1.770,Strong Buy,10.33,"Aug 8, 2024"
,,,,405,,,,
,,,,122,,,,
,,,,237,,,,
,,,,,,,,
,,,,,,,,
77.89M,"2,587,238",-258.61M,n/a,833,1.470,Strong Buy,23.54,"Aug 14, 2024"
30.19M,"22,239",35.78M,n/a,671,3.760,n/a,n/a,"Aug 13, 2024"
4.52M,"19,440",10.02M,$1.44,60,25.10,n/a,n/a,"Oct 16, 2024"
10.28M,"1,728",-1.81M,n/a,65,11.04,n/a,n/a,n/a
,,,,10,,,,
22.75M,"65,168","-990,722",n/a,11,4.99,n/a,n/a,"Sep 6, 2024"
49.24M,"104,280",-23.85M,n/a,,2.290,Buy,5.25,"Aug 12, 2024"
10.39M,"1,476",4.55M,n/a,70,10.80,n/a,n/a,n/a
,,,,,,,,
12.98M,"100,894",-43.31M,n/a,"1,619",8.59,Hold,13.00,"Aug 8, 2024"
11.07M,"20,022",n/a,n/a,8,10.06,n/a,n/a,n/a
,,,,,,,,
6.46M,"14,725",10.46M,n/a,270,17.25,n/a,n/a,"Sep 26, 2024"
46.55M,"304,366",-40.88M,n/a,62,2.390,Strong Buy,10.50,"Aug 8, 2024"
5.50M,"2,264",11.31M,$0.84,,20.05,n/a,n/a,"Aug 5, 2024"
47.04M,"100,589",-3.44M,n/a,65,2.360,n/a,n/a,n/a
,,,,90,,,,
76.49M,"217,281",-38.53M,n/a,819,1.450,Strong Buy,5.00,"Aug 6, 2024"
10.21M,"4,352",10.42M,n/a,,10.85,n/a,n/a,n/a
,,,,,,,,
35.72M,"57,918",-120.43M,n/a,"2,377",3.100,Hold,5.50,"Aug 8, 2024"
7.51M,"12,808",5.03M,n/a,69,14.69,n/a,n/a,"Sep 4, 2024"
36.90M,"46,555",-54.07M,n/a,65,2.990,Buy,n/a,"Sep 3, 2024"
6.52M,"17,256",-2.93M,$0.64,18,16.90,n/a,n/a,"Sep 6, 2024"
9.34M,"14,871","168,000",$0.12,338,11.75,Buy,14.00,"Oct 16, 2024"
5.07M,"159,370",-37.89M,n/a,,21.63,Strong Buy,45.00,"Aug 8, 2024"
79.26M,"56,979,066",-2.98M,n/a,,1.380,n/a,n/a,"May 15, 2024"
12.70M,"65,166",3.60M,$0.16,,8.60,n/a,n/a,"Aug 28, 2024"
6.28M,"1,543",7.92M,$0.60,105,17.37,Strong Buy,21.00,"Jul 31, 2024"
31.70M,"269,594",-11.69M,n/a,,3.440,n/a,n/a,"Aug 14, 2024"
9.47M,"5,235",5.75M,n/a,29,11.51,n/a,n/a,n/a
,,,,378,,,,
158.00M,"166,420",-117.08M,n/a,173,0.689,n/a,n/a,"Aug 29, 2024"
10.45M,"29,406",10.19M,$1.40,140,10.45,n/a,n/a,"Aug 1, 2024"
,,,,,,,,
65.88M,"86,031",-88.00M,n/a,344,1.640,Strong Buy,11.00,"Aug 13, 2024"
16.39M,"129,177",6.65M,n/a,9,6.58,Strong Buy,10.00,"Aug 8, 2024"
45.86M,"68,812",-11.76M,n/a,,2.350,Strong Buy,3.70,"Aug 7, 2024"
28.42M,"72,205",2.12M,n/a,505,3.790,Buy,8.40,"Aug 7, 2024"
13.40M,"74,421",-1.03M,$1.36,"7,390",8.04,n/a,n/a,"Aug 1, 2024"
9.52M,"3,456",1.49M,n/a,"7,390",11.24,n/a,n/a,n/a
,,,,,,,,
180.73M,"1,741,835",-39.77M,n/a,22,0.595,Strong Buy,5.00,"Aug 12, 2024"
96.95M,"457,275",-6.69M,n/a,7,1.100,Buy,2.61,"Aug 8, 2024"
3.35M,"3,527",12.03M,$1.16,49,31.30,n/a,n/a,"Jul 26, 2024"
13.01M,"27,152",-4.71M,n/a,,8.17,n/a,n/a,"Jun 20, 2024"
10.08M,"3,120",1.12M,n/a,705,10.54,n/a,n/a,n/a
,,,,72,,,,
9.60M,"1,700",2.13M,n/a,,11.04,n/a,n/a,n/a
,,,,,,,,
6.73M,"12,839",12.04M,$0.56,30,15.74,n/a,n/a,"Jul 18, 2024"
109.59M,"8,744",60.70M,n/a,,0.960,n/a,n/a,"Sep 3, 2024"
17.26M,"6,302",-33.71M,n/a,122,6.08,Buy,16.33,"Aug 13, 2024"
63.67M,"26,128",14.49M,n/a,91,1.630,n/a,n/a,"Aug 13, 2024"
40.54M,"16,379",-6.14M,n/a,"1,357",2.580,n/a,n/a,"Aug 19, 2024"
,,,,40,,,,
43.70M,"314,756",-53.73M,n/a,112,2.390,Strong Buy,12.00,"Aug 8, 2024"
38.26M,"53,974",-60.34M,n/a,94,2.720,Strong Buy,10.40,"Aug 12, 2024"
82.50M,"35,990",10.29M,n/a,,1.280,n/a,n/a,"Sep 3, 2024"
124.68M,"413,830",-89.91M,n/a,31,0.834,Strong Buy,5.00,"Aug 6, 2024"
322.13M,"1,063,043",-153.93M,n/a,66,0.322,Buy,4.50,"Aug 8, 2024"
11.06M,"262,707",5.35M,n/a,"5,400",9.36,Buy,4.13,"Aug 12, 2024"
37.79M,"437,290",-67.96M,n/a,16,2.740,n/a,n/a,"Aug 12, 2024"
123.97M,"133,351",-4.95M,n/a,773,0.853,n/a,n/a,"Aug 6, 2024"
10.12M,"29,150",-13.21M,n/a,145,10.15,n/a,n/a,"Aug 6, 2024"
577.77M,"63,342,532",-376.25M,n/a,164,0.177,Sell,4.82,"Sep 3, 2024"
45.02M,"297,417",-42.47M,n/a,11,2.265,Strong Buy,12.00,"Aug 12, 2024"
32.01M,"108,675",-11.60M,n/a,,3.180,Strong Buy,8.50,"Sep 4, 2024"
40.77M,"72,530",20.86M,n/a,30,2.480,Hold,n/a,"Aug 16, 2024"
,,,,21,,,,
147.50M,"219,034",-88.12M,n/a,240,0.685,n/a,n/a,"Sep 30, 2024"
20.73M,"49,257","843,000",n/a,83,4.830,Strong Buy,8.50,"Aug 12, 2024"
10.06M,"50,266",-63.93M,n/a,,9.93,Hold,13.00,"Aug 8, 2024"
9.49M,"1,177","-181,481",n/a,,10.51,n/a,n/a,n/a
,,,,20,,,,
27.06M,"117,641",-33.19M,n/a,72,3.670,Strong Buy,19.00,"Aug 13, 2024"
5.01M,"4,230",3.84M,$0.28,,19.68,n/a,n/a,"Aug 8, 2024"
112.62M,"18,390",49.78M,n/a,43,0.880,n/a,n/a,"Sep 3, 2024"
40.24M,"763,937",-89.49M,n/a,,2.460,Strong Buy,17.86,"Aug 8, 2024"
5.08M,"1,057",7.09M,$0.56,107,19.40,n/a,n/a,"Jul 25, 2024"
170.65M,"92,614",-2.49M,n/a,,0.580,n/a,n/a,"Aug 14, 2024"
,,,,,,,,
56.48M,"7,296",33.48M,n/a,7,1.740,n/a,n/a,"Aug 28, 2024"
61.43M,"486,599",-82.42M,n/a,"4,850",1.610,Hold,3.00,"Aug 8, 2024"
26.94M,"34,625",-8.29M,n/a,394,3.670,n/a,n/a,"Aug 5, 2024"
8.60M,"1,313",-1.15M,n/a,,11.49,n/a,n/a,n/a
,,,,28,,,,
23.47M,"43,355",-5.85M,n/a,,4.200,n/a,n/a,"Aug 5, 2024"
21.10M,"25,328",1.92M,$0.20,,4.660,n/a,n/a,"Jul 25, 2024"
9.02M,224,1.80M,n/a,11,10.85,n/a,n/a,n/a
,,,,131,,,,
80.70M,"242,748",-206.70M,n/a,"8,360",1.220,Strong Buy,12.25,"Aug 28, 2024"
101.69M,"43,952",-8.11M,n/a,112,0.950,n/a,n/a,"Aug 14, 2024"
9.17M,"24,769",3.39M,n/a,298,10.72,n/a,n/a,n/a
,,,,,,,,
6.09M,"1,185",6.57M,$0.40,,15.63,n/a,n/a,"Jul 29, 2024"
33.59M,"9,823",-67.63M,n/a,47,2.900,Hold,3.00,"Aug 15, 2024"
66.18M,"107,102",-48.41M,n/a,400,1.470,Strong Buy,13.00,"Aug 8, 2024"
15.05M,"13,768",-27.21M,n/a,64,6.45,Strong Buy,6.00,"Aug 16, 2024"
275.40M,"353,502",-109.60M,n/a,97,0.347,n/a,n/a,"Sep 3, 2024"
89.94M,"123,718",17.85M,n/a,350,1.070,n/a,n/a,"Aug 9, 2024"
45.57M,"5,942",-17.20M,n/a,,2.110,n/a,n/a,"Sep 23, 2024"
9.08M,"3,597",1.43M,n/a,63,10.57,n/a,n/a,"Aug 23, 2024"
91.10M,"47,595",-64.45M,n/a,197,1.050,n/a,n/a,"Sep 19, 2024"
2.02M,"2,291",19.86M,n/a,,46.67,n/a,n/a,"Aug 6, 2024"
51.73M,"18,492",-19.97M,n/a,,1.840,n/a,n/a,"Sep 5, 2024"
16.52M,"18,825",-18.02M,n/a,,5.75,Buy,n/a,"Aug 6, 2024"
28.49M,"101,754",-40.17M,n/a,6,3.330,Strong Buy,18.25,"Oct 10, 2024"
6.88M,"6,452",7.35M,$0.56,677,13.78,Hold,14.00,"Jul 29, 2024"
14.22M,"24,450",-19.97M,n/a,"1,520",6.67,Hold,n/a,"Aug 7, 2024"
78.12M,"395,390",11.09M,n/a,140,1.210,Buy,5.77,"Aug 8, 2024"
31.03M,"565,227",-4.92M,n/a,115,3.040,Strong Buy,7.00,"Aug 8, 2024"
9.03M,"6,371",1.63M,n/a,37,10.44,n/a,n/a,n/a
,,,,300,,,,
12.75M,"2,177",-4.59M,n/a,,7.38,n/a,n/a,"Sep 3, 2024"
,,,,,,,,
6.26M,"13,590",6.04M,$0.99,271,15.04,n/a,n/a,"Aug 8, 2024"
44.92M,"161,999",-8.61M,n/a,"1,268",2.090,Buy,4.00,"Aug 7, 2024"
101.59M,"159,445",-36.64M,n/a,123,0.924,Strong Buy,5.00,"Aug 12, 2024"
9.51M,"57,470",-7.29M,n/a,"4,664",9.88,n/a,n/a,n/a
31.91M,"184,271",-29.25M,n/a,225,2.940,Buy,28.00,"Aug 14, 2024"
23.38M,"38,988",-16.65M,n/a,23,4.010,Buy,6.00,"Aug 7, 2024"
8.07M,593,3.35M,n/a,,11.57,n/a,n/a,"Oct 22, 2024"
,,,,,,,,
12.72M,"2,829",-2.08M,n/a,,7.24,n/a,n/a,"Jul 31, 2024"
8.98M,203,1.51M,n/a,406,10.41,n/a,n/a,n/a
,,,,29,,,,
44.10M,"21,034",-16.07M,n/a,40,2.120,n/a,n/a,"Sep 23, 2024"
15.22M,"27,576",-10.10M,n/a,30,6.14,Strong Buy,16.00,"Aug 12, 2024"
217.56M,"443,090",-26.37M,n/a,20,0.425,Strong Buy,3.25,"Oct 14, 2024"
,,,,53,,,,
8.78M,"79,559",-1.19M,$0.28,131,10.64,Hold,12.25,"Jul 25, 2024"
58.88M,"58,468",-50.24M,n/a,,1.580,Strong Buy,13.50,"Aug 8, 2024"
8.95M,"183,057","802,814",n/a,,10.38,n/a,n/a,n/a
,,,,,,,,
6.35M,"34,221",-45.61M,n/a,66,14.61,Hold,n/a,"Aug 8, 2024"
47.72M,"271,481",-156.27M,n/a,44,1.940,Hold,2.33,"Aug 8, 2024"
8.02M,"49,570",13.04M,n/a,36,11.40,n/a,n/a,"Sep 12, 2024"
8.96M,"1,000","785,727",n/a,104,10.27,n/a,n/a,n/a
,,,,14,,,,
6.93M,"53,196","703,866",$0.63,"1,000",13.28,n/a,n/a,"Aug 14, 2024"
,,,,,,,,
112.43M,"431,515",-63.20M,n/a,"4,153",0.817,Buy,3.33,"Aug 5, 2024"
7.04M,"8,116",-113.86M,n/a,,12.98,Strong Buy,29.67,"Aug 13, 2024"
48.34M,"562,949",-104.56M,n/a,46,1.890,Strong Buy,8.67,"Aug 8, 2024"
10.09M,"12,996",-21.69M,n/a,17,9.05,Buy,19.67,"Sep 19, 2024"
19.71M,"34,278",-22.10M,n/a,,4.620,Strong Buy,7.00,"Aug 1, 2024"
8.93M,102,"-113,118",n/a,31,10.19,n/a,n/a,n/a
,,,,,,,,
8.00M,1,-6.58M,n/a,176,11.48,n/a,n/a,n/a
,,,,227,,,,
8.17M,"1,837",-1.44M,n/a,,10.97,n/a,n/a,n/a
,,,,761,,,,
96.50M,"11,783",-88.38M,n/a,97,0.950,Strong Buy,5.00,"Jul 30, 2024"
8.14M,263,1.96M,n/a,117,11.13,n/a,n/a,n/a
,,,,126,,,,
35.62M,469,-27.00M,n/a,"1,398",2.690,n/a,n/a,n/a
42.93M,"53,448",1.30M,n/a,45,2.100,Hold,2.63,"Aug 13, 2024"
10.77M,"12,437",4.26M,n/a,146,8.27,n/a,n/a,"Jul 25, 2024"
29.29M,"23,469",-30.58M,n/a,166,3.070,Strong Buy,12.67,"Aug 6, 2024"
8.87M,"124,760","811,402",n/a,,10.13,n/a,n/a,n/a
,,,,145,,,,
34.70M,"152,765",-2.12M,n/a,,2.590,Strong Buy,8.00,"Sep 3, 2024"
60.82M,356,-9.36M,n/a,635,1.475,n/a,n/a,"Apr 22, 2024"
7.95M,2,"-521,717",n/a,98,11.29,n/a,n/a,n/a
,,,,333,,,,
12.38M,"26,507,342",-318.75M,n/a,,7.23,n/a,n/a,"Aug 14, 2024"
17.01M,"17,212",-136.00M,$0.56,69,5.39,n/a,n/a,"Jul 31, 2024"
17.01M,"17,420",-136.00M,$0.56,"7,600",5.03,n/a,n/a,n/a
8.86M,"34,486","-118,268",n/a,109,10.00,n/a,n/a,n/a
,,,,200,,,,
10.92M,"12,723",-13.26M,n/a,,8.10,n/a,n/a,"Aug 8, 2024"
33.24M,"66,348",-1.90M,n/a,120,2.670,n/a,n/a,"Sep 20, 2024"
6.50M,"28,539",-119.58M,n/a,,13.55,Buy,22.67,"Aug 13, 2024"
7.84M,"7,555",3.06M,n/a,124,11.22,n/a,n/a,n/a
,,,,56,,,,
20.40M,"94,940",10.67M,n/a,,4.310,Strong Buy,8.00,"Aug 7, 2024"
89.64M,"328,846",-84.70M,n/a,82,0.980,Strong Buy,8.50,"Aug 13, 2024"
7.83M,64,2.82M,n/a,"22,516",11.19,n/a,n/a,n/a
,,,,106,,,,
7.70M,"52,493",1.14M,n/a,"1,695",11.42,n/a,n/a,n/a
,,,,11,,,,
2.02M,62,"-523,542",n/a,,44.00,n/a,n/a,"Oct 17, 2024"
7.77M,100,-3.29M,n/a,,11.23,n/a,n/a,n/a
,,,,,,,,
11.30M,"26,403",-12.33M,n/a,,7.66,Strong Buy,8.00,"Aug 6, 2024"
71.34M,"167,051",-58.68M,n/a,,1.210,Hold,11.50,"Aug 7, 2024"
102.01M,"69,021",4.61M,n/a,50,0.844,n/a,n/a,"Aug 23, 2024"
70.97M,"373,660",-29.75M,n/a,148,1.210,Strong Buy,4.04,"Aug 13, 2024"
114.12M,"444,210",-140.34M,n/a,150,0.750,Sell,1.17,"Aug 9, 2024"
55.15M,"60,512",-78.90M,n/a,,1.550,Strong Buy,10.20,"Aug 6, 2024"
7.42M,"5,097",2.04M,n/a,,11.51,n/a,n/a,n/a
,,,,911,,,,
9.25M,"1,037,312",-1.12M,n/a,"6,100",9.23,n/a,n/a,"Sep 3, 2024"
6.16M,"17,197",-75.74M,n/a,"1,398",13.83,Strong Buy,75.00,"Aug 6, 2024"
37.75M,"124,955",-31.42M,n/a,168,2.250,Buy,4.40,"Sep 3, 2024"
64.33M,"304,699",-34.44M,n/a,94,1.320,Buy,3.00,"Aug 13, 2024"
190.81M,"5,379",-60.03M,n/a,48,0.450,n/a,n/a,"Sep 3, 2024"
30.32M,"3,433","-589,624",n/a,,2.800,Strong Buy,5.18,"Sep 11, 2024"
43.07M,"5,936",-4.90M,n/a,6,2.000,n/a,n/a,"Aug 8, 2024"
37.03M,"73,444",1.05M,n/a,48,2.290,n/a,n/a,"Sep 3, 2024"
7.37M,"3,200",2.17M,n/a,179,11.49,n/a,n/a,n/a
,,,,76,,,,
315.50M,"445,456",-29.00M,n/a,26,1.490,Buy,2.10,"Aug 28, 2024"
27.80M,"98,389",-18.80M,n/a,287,3.020,Strong Buy,7.00,"Jul 30, 2024"
8.61M,"6,795","-63,000",$0.04,,9.75,Hold,9.89,"Jul 26, 2024"
11.18M,"7,732",2.76M,n/a,131,7.53,Strong Buy,10.00,"Sep 11, 2024"
7.79M,109,1.35M,n/a,40,10.76,n/a,n/a,n/a
,,,,58,,,,
7.47M,"15,022",-3.88M,n/a,324,11.18,n/a,n/a,n/a
,,,,210,,,,
30.17M,"52,283",-86.76M,n/a,980,2.770,Strong Sell,2.00,"Aug 7, 2024"
22.25M,"35,910",-57.72M,n/a,147,3.740,Strong Buy,23.00,"Aug 12, 2024"
6.93M,2,"573,881",n/a,11,12.33,n/a,n/a,n/a
,,,,29,,,,
48.26M,"214,676",-66.71M,n/a,56,1.720,Buy,3.00,"Aug 8, 2024"
7.53M,"25,298","720,696",n/a,15,11.00,n/a,n/a,n/a
,,,,624,,,,
98.21M,"194,991",-59.40M,n/a,18,0.842,n/a,n/a,n/a
7.19M,"1,000",-3.15M,n/a,79,11.50,n/a,n/a,"May 17, 2024"
,,,,65,,,,
7.25M,"5,738","270,230",n/a,,11.35,n/a,n/a,n/a
,,,,25,,,,
37.89M,"53,393",-12.66M,n/a,786,2.170,Strong Buy,8.00,"Oct 4, 2024"
79.73M,"935,091",-369.04M,n/a,113,1.030,Buy,3.44,"Aug 1, 2024"
23.48M,"21,224",-13.52M,n/a,"1,061",3.490,Strong Buy,7.25,"Aug 8, 2024"
7.56M,67,"669,111",n/a,"4,319",10.82,n/a,n/a,n/a
,,,,181,,,,
17.21M,"259,229",-1.29M,n/a,153,4.77,n/a,n/a,"Sep 6, 2024"
7.09M,"1,000",-2.36M,n/a,,11.57,n/a,n/a,n/a
,,,,103,,,,
7.84M,"5,333","-35,880",n/a,4,10.41,n/a,n/a,n/a
,,,,5,,,,
20.59M,"58,058",-10.06M,n/a,102,3.950,n/a,n/a,"Aug 9, 2024"
34.90M,"359,253",-120.43M,n/a,,2.330,Hold,9.25,"Aug 8, 2024"
12.71M,"368,490",-163.50M,n/a,112,6.38,Hold,9.33,"Sep 6, 2024"
11.17M,"208,774",6.85M,n/a,611,7.25,Strong Buy,14.50,"Aug 12, 2024"
14.62M,"55,340",-16.65M,n/a,13,5.53,Strong Buy,16.33,"Aug 13, 2024"
7.15M,"9,077","713,405",n/a,5,11.29,n/a,n/a,n/a
,,,,13,,,,
7.29M,19,-4.88M,n/a,,11.04,n/a,n/a,n/a
,,,,134,,,,
23.74M,"406,782",7.68M,n/a,7,3.390,Strong Buy,12.00,"Aug 14, 2024"
161.76M,"416,484",-69.48M,n/a,94,0.508,Buy,4.50,"Aug 7, 2024"
25.91M,"2,714",-14.96M,n/a,63,3.100,n/a,n/a,n/a
