Shares Number,Volume,Net Income,Dividends,Employee Amount,Previous Close,Analysts,Price Target,Earnings Date
100.98M,"479,197",339.20M,n/a,"10,250",152.81,Buy,163.26,"Aug 1, 2024"
151.53M,"760,145",628.81M,n/a,"3,293",101.83,Buy,115.39,"Aug 8, 2024"
123.68M,"835,403",-292.12M,n/a,"14,500",122.71,Strong Buy,122.57,"Aug 8, 2024"
298.55M,"3,046,006",739.00M,$1.48,"5,900",50.80,Hold,46.25,"Aug 29, 2024"
517.92M,"1,241,812",539.00M,$0.72,"5,442",29.10,Buy,37.07,"Aug 7, 2024"
256.50M,"645,024",625.00M,$1.92,"7,900",58.03,Buy,58.36,"Aug 1, 2024"
57.18M,"253,745",472.89M,$3.12,"2,200",257.40,Buy,290.40,"Aug 21, 2024"
356.38M,"1,733,997",-396.90M,$1.40,"103,300",40.25,Buy,46.62,"Aug 5, 2024"
328.83M,"3,308,035",2.94B,n/a,"16,790",43.32,Strong Buy,72.78,"Oct 15, 2024"
1.01B,"33,005,416",-5.79B,n/a,"7,300",13.96,Buy,17.90,"Aug 6, 2024"
152.81M,"233,533",691.25M,$1.29,"38,000",92.26,Hold,94.56,"Jul 22, 2024"
1.19B,"5,847,074",-646.50M,$0.48,18,11.76,Hold,12.33,"Aug 8, 2024"
274.39M,"1,018,697",777.59M,$3.04,"12,700",50.74,Buy,51.57,"Jul 25, 2024"
244.21M,"535,620",1.51B,n/a,"6,000",56.99,Buy,66.29,"Aug 6, 2024"
38.26M,"170,554",458.20M,$4.80,"45,359",358.52,Hold,344.63,"Oct 17, 2024"
37.11M,"222,517",501.97M,$2.00,"1,187",369.40,Strong Buy,410.22,"Sep 4, 2024"
63.25M,"112,896",-9.77M,$0.53,912,216.23,Strong Buy,224.50,"Aug 6, 2024"
171.85M,"2,353,397",-802.69M,n/a,"4,658",78.84,Strong Buy,81.40,"Aug 8, 2024"
229.96M,"1,708,126",739.30M,$2.57,"11,334",58.53,Buy,58.33,"Aug 9, 2024"
42.84M,"117,473",245.90M,$1.62,"2,932",313.83,Strong Buy,336.00,"Jul 24, 2024"
108.84M,"499,270",681.00M,$1.00,"1,314",123.40,Strong Buy,127.10,"Oct 15, 2024"
95.37M,"544,472",47.30M,n/a,"2,800",140.56,Buy,185.41,"Aug 7, 2024"
630.39M,"3,749,942",1.68B,$1.92,"6,450",20.92,Buy,21.63,"Oct 22, 2024"
246.64M,"1,732,330",-11.96M,n/a,"1,854",53.35,Buy,66.43,"Aug 28, 2024"
49.86M,"257,164",41.22M,n/a,"172,000",263.42,Strong Buy,280.57,"Aug 12, 2024"
397.07M,"1,433,066",959.00M,n/a,"3,000",32.93,Strong Buy,38.80,"Jul 24, 2024"
70.04M,"404,074",395.30M,n/a,"6,263",185.04,Buy,223.43,"Aug 8, 2024"
231.44M,"3,760,083",-141.00M,n/a,502,56.35,Buy,57.44,"Aug 7, 2024"
181.03M,"707,869",381.05M,$2.68,"12,005",71.42,Strong Buy,73.45,"Aug 1, 2024"
3.96B,"21,204,882",-213.00M,n/a,89,3.230,Strong Buy,5.09,"Aug 15, 2024"
448.13M,"1,456,253",673.24M,$0.84,"6,263",28.19,Strong Buy,42.00,"Aug 8, 2024"
231.44M,"577,644",-141.00M,n/a,"27,000",54.53,Buy,57.44,"Aug 7, 2024"
53.53M,"136,775",290.88M,$1.16,"4,200",235.71,Buy,242.50,"Jul 31, 2024"
701.08M,"2,004,231",770.00M,$1.27,"3,550",17.85,Buy,19.80,"Aug 2, 2024"
102.30M,"218,454",504.33M,$5.20,170,122.19,Buy,123.25,"Aug 8, 2024"
102.21M,"606,531",-53.92M,$1.20,"2,524",121.74,Strong Buy,118.45,"Jul 23, 2024"
192.60M,"1,729,081",97.30M,n/a,"5,680",64.14,Buy,71.13,"Jul 30, 2024"
3.85B,"17,196,254",1.30B,$0.11,163,3.200,Hold,3.78,"Aug 1, 2024"
702.44M,"7,757,350",750.00M,$0.80,"5,900",17.41,Buy,21.06,"Jul 31, 2024"
30.93M,"138,310",339.65M,n/a,"3,018",390.91,Strong Buy,426.50,"Oct 21, 2024"
43.15M,"336,780",-13.15M,n/a,"7,120",279.88,Strong Buy,288.85,"Aug 8, 2024"
72.90M,"510,437",378.52M,$2.20,"15,246",164.63,Buy,176.45,"Aug 20, 2024"
117.28M,"595,572",332.08M,$2.48,"1,225",101.79,Hold,93.27,"Jul 31, 2024"
29.30M,"391,691",94.56M,$1.08,"17,000",403.89,Buy,374.47,"Jul 31, 2024"
8.76M,"38,202",506.48M,$3.50,"6,840","1,350.00",n/a,n/a,"Jul 31, 2024"
